mStop,mLSP,dataset,file,simulation_type,genmodel_branch,runs_sumw_branch,missing_bookkeeping_flags,hlt_trigger_bypass_required,usable_for_future_fastsim_signal_yield_production
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_1,genEventSumw_T2tt_1050_1,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_100,genEventSumw_T2tt_1050_100,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_200,genEventSumw_T2tt_1050_200,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_300,genEventSumw_T2tt_1050_300,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_400,genEventSumw_T2tt_1050_400,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_500,genEventSumw_T2tt_1050_500,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_600,genEventSumw_T2tt_1050_600,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_700,genEventSumw_T2tt_1050_700,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_800,genEventSumw_T2tt_1050_800,,True,True
2,1050,/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/2ee03b88-fa76-4cff-89e3-c39437dc2007.root,FastSim signal dataset,GenModel_T2tt_1050_900,genEventSumw_T2tt_1050_900,,True,True
2,1100,/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/34301eed-209b-4303-998d-c66d3ea447c1.root,FastSim signal dataset,GenModel_T2tt_1100_1,genEventSumw_T2tt_1100_1,,True,True
2,1100,/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/34301eed-209b-4303-998d-c66d3ea447c1.root,FastSim signal dataset,GenModel_T2tt_1100_100,genEventSumw_T2tt_1100_100,,True,True
2,1100,/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/34301eed-209b-4303-998d-c66d3ea447c1.root,FastSim signal dataset,GenModel_T2tt_1100_300,genEventSumw_T2tt_1100_300,,True,True
2,1100,/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/34301eed-209b-4303-998d-c66d3ea447c1.root,FastSim signal dataset,GenModel_T2tt_1100_500,genEventSumw_T2tt_1100_500,,True,True
2,1100,/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v1/NANOAODSIM,root://cms-xrd-global.cern.ch//store/mc/RunIII2024Summer24NanoAODv15/SMS-2Stop_Par-mStop-1050_TuneCP5_13p6TeV_madgraphMLM-pythia8/NANOAODSIM/150X_mcRun3_2024_realistic_v2-v1/100000/34301eed-209b-4303-998d-c66d3ea447c1.root,FastSim signal dataset,GenModel_T2tt_1100_600,genEventSumw_T2tt_1100_600,,True,True
