scheme,bin,background_weighted,background_effective_events,signal_weighted,s_over_sqrt_b_proxy,warnings
minimal_njet_nb_met,Njet2to4_Nb0_MET250to400,0.0,0.0,0.0,,below_minimum_background_yield;below_minimum_effective_mc_events;low_background_yield_warning
minimal_njet_nb_met,Njet2to4_Nb1plus_MET250to400,0.0,0.0,0.0,,below_minimum_background_yield;below_minimum_effective_mc_events;low_background_yield_warning
minimal_njet_nb_met,Njet5to6_Nb1_MET250to400,1.5590467289464645,1.7570125527874956,20.545468365648148,16.454567816681678,below_minimum_background_yield;below_minimum_effective_mc_events;low_background_yield_warning
minimal_njet_nb_met,Njet5to6_Nb2plus_MET250to600,1.772546220735787,1.9558478064510993,55.97160753339779,42.04060874321176,below_minimum_background_yield;below_minimum_effective_mc_events;low_background_yield_warning
minimal_njet_nb_met,Njet7plus_Nb1plus_MET250to600,46.30819710984575,1.181060421265549,55.1947881008943,8.11090162113847,below_minimum_effective_mc_events
minimal_njet_nb_met,Njet5plus_Nb1plus_MET600plus,3.5119926180564374,4.457935623441349,71.80968679951899,38.31830018428898,below_minimum_background_yield;low_background_yield_warning
resolved_kinematics,highHT_Njet5plus_Nb1_MET250plus,48.73696703745254,1.306576532350431,93.52386062867707,13.396556391050348,below_minimum_effective_mc_events
resolved_kinematics,veryHighHT_Njet6plus_Nb1_MET250plus,43.9448021488647,1.0641172480092802,17.72467040712899,2.6737722487607902,below_minimum_effective_mc_events
resolved_kinematics,twoB_highHT_MET400plus,3.175605808767151,4.611946404008712,81.9311257995945,45.97647051252151,below_minimum_background_yield;low_background_yield_warning
resolved_kinematics,cleanDphi_Njet5plus_Nb1_MET400plus,7.614833976358135,8.255836359000433,139.29168612603934,50.47716742352849,low_background_yield_warning
isr_sensitive,hardJ1_Njet2plus_MET250to500,44.33870130902821,1.0824598104080545,9.90670029157177,1.4877759712998906,below_minimum_effective_mc_events
isr_sensitive,hardJ1_Njet2plus_MET500plus,1.8544710990690956,2.468669967875388,42.73931067130833,31.38466364143047,below_minimum_background_yield;below_minimum_effective_mc_events;low_background_yield_warning
isr_sensitive,hardJ1_lowB_MET400plus,2.4862822784810126,3.0000000000000004,11.626746083083091,7.373657663566647,below_minimum_background_yield;low_background_yield_warning
ak8_kinematics_no_tag_scores,AK8one_Njet5plus_Nb1_MET250plus,52.60189637650582,1.5187146420989794,175.61809006881026,24.214112117980008,below_minimum_effective_mc_events
ak8_kinematics_no_tag_scores,AK8one_highMET,5.267988927084655,6.655799474316479,104.3952680712561,45.4839723771907,low_background_yield_warning
ak8_kinematics_no_tag_scores,AK8two_Njet5plus,46.053735178889774,1.168054997345724,69.89817315750376,10.299909187181223,below_minimum_effective_mc_events
optimized_hybrid_no_tags,hybrid_lowMET_multijet,45.224974419396105,1.1266755212154553,24.749779707678517,3.680291111542413,below_minimum_effective_mc_events
optimized_hybrid_no_tags,hybrid_midMET_multijet,3.905891778219945,5.327286681649336,44.27497966481964,22.40259189163829,below_minimum_background_yield;low_background_yield_warning
optimized_hybrid_no_tags,hybrid_highMET_anyHT,3.5119926180564374,4.457935623441349,71.80968679951899,38.31830018428898,below_minimum_background_yield;low_background_yield_warning
optimized_hybrid_no_tags,hybrid_AK8_highHT,46.58707156826081,1.1948837507082375,48.425589026849735,7.094833468535472,below_minimum_effective_mc_events
