family	primary	dataset	shard	exception_type	failure_stage	first_failure_time	last_failure_time	external_access_blocker	permanently_skipped	file_path	concise_error
EGamma	EGamma0	EGamma0-Run2024C-MINIv6NANOv15-v1____10_	shard_00004.json	OSError	full_production_open_or_read	2026-06-22T09:46:35Z	2026-06-22T09:46:35Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024C/EGamma0/NANOAOD/MINIv6NANOv15-v1/2540000/a0e59a00-71ab-4626-8a79-d2e364c700d8.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024C/EGamma0/NANOAOD/MINIv6NANOv15-v1/2540000/a0e59a00-71ab-4626-8a79-d2e364c700d8.root"
EGamma	EGamma0	EGamma0-Run2024C-MINIv6NANOv15-v1____11_	shard_00006.json	OSError	full_production_open_or_read	2026-06-22T09:46:48Z	2026-06-22T09:46:48Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024C/EGamma0/NANOAOD/MINIv6NANOv15-v1/2540000/6931c7e9-e428-4def-b4fb-223fe6b79e20.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024C/EGamma0/NANOAOD/MINIv6NANOv15-v1/2540000/6931c7e9-e428-4def-b4fb-223fe6b79e20.root"
EGamma	EGamma0	EGamma0-Run2024C-MINIv6NANOv15-v1____12_	shard_00013.json	OSError	full_production_open_or_read	2026-06-22T09:46:42Z	2026-06-22T09:46:42Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024C/EGamma0/NANOAOD/MINIv6NANOv15-v1/2540000/95574212-a2fd-422b-b237-f903044a2476.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024C/EGamma0/NANOAOD/MINIv6NANOv15-v1/2540000/95574212-a2fd-422b-b237-f903044a2476.root"
EGamma	EGamma0	EGamma0-Run2024D-MINIv6NANOv15-v1____11_	shard_00092.json	OSError	full_production_open_or_read	2026-06-22T10:08:44Z	2026-06-22T10:08:44Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/0aea5ec2-7858-4a0e-a8f2-9355064d7f88.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/0aea5ec2-7858-4a0e-a8f2-9355064d7f88.root"
EGamma	EGamma0	EGamma0-Run2024D-MINIv6NANOv15-v1____13_	shard_00103.json	OSError	full_production_open_or_read	2026-06-22T09:56:36Z	2026-06-22T09:56:36Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/7f6c9b21-3633-42f0-9fac-39d472dab4f2.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/7f6c9b21-3633-42f0-9fac-39d472dab4f2.root"
EGamma	EGamma0	EGamma0-Run2024D-MINIv6NANOv15-v1____1_	shard_00128.json	OSError	full_production_open_or_read	2026-06-22T10:15:34Z	2026-06-22T10:15:34Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/cf8c050d-b223-4507-90c5-a8b2460b9955.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/cf8c050d-b223-4507-90c5-a8b2460b9955.root"
EGamma	EGamma0	EGamma0-Run2024D-MINIv6NANOv15-v1____3_	shard_00139.json	OSError	full_production_open_or_read	2026-06-22T10:19:46Z	2026-06-22T10:19:46Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/6eb22769-3cba-4926-b959-7171263d6b54.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/6eb22769-3cba-4926-b959-7171263d6b54.root"
EGamma	EGamma0	EGamma0-Run2024D-MINIv6NANOv15-v1____8_	shard_00162.json	OSError	full_production_open_or_read	2026-06-22T10:14:43Z	2026-06-22T10:14:43Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/80ca4a09-6ecf-473e-9898-64711c0f4f59.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024D/EGamma0/NANOAOD/MINIv6NANOv15-v1/110000/80ca4a09-6ecf-473e-9898-64711c0f4f59.root"
EGamma	EGamma0	EGamma0-Run2024E-MINIv6NANOv15-v1____10_	shard_00174.json	OSError	full_production_open_or_read	2026-06-22T10:17:48Z	2026-06-22T10:17:48Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024E/EGamma0/NANOAOD/MINIv6NANOv15-v1/120000/07de4a50-e3d9-4a48-a54e-4d2a49459f72.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024E/EGamma0/NANOAOD/MINIv6NANOv15-v1/120000/07de4a50-e3d9-4a48-a54e-4d2a49459f72.root"
EGamma	EGamma0	EGamma0-Run2024E-MINIv6NANOv15-v1____13_	shard_00186.json	OSError	full_production_open_or_read	2026-06-22T10:37:42Z	2026-06-22T10:37:42Z	True	False	root://cms-xrd-global.cern.ch//store/data/Run2024E/EGamma0/NANOAOD/MINIv6NANOv15-v1/120000/736edee0-16dd-4500-9879-3b355dcd010c.root	"XRootD error: [ERROR] Operation expired
in file root://cms-xrd-global.cern.ch//store/data/Run2024E/EGamma0/NANOAOD/MINIv6NANOv15-v1/120000/736edee0-16dd-4500-9879-3b355dcd010c.root"
