mStop,xsec_pb,uncertainty_percent,uncertainty_relative,uncertainty_up_relative,uncertainty_down_relative,source_file,parsing_status
100,2046.0,4.61,0.0461,0.0461,0.0461,signal_xsec.txt,parsed
105,1666.0,4.57,0.045700000000000005,0.045700000000000005,0.045700000000000005,signal_xsec.txt,parsed
110,1365.0,4.53,0.0453,0.0453,0.0453,signal_xsec.txt,parsed
115,1125.0,4.5,0.045,0.045,0.045,signal_xsec.txt,parsed
120,932.7,4.47,0.0447,0.0447,0.0447,signal_xsec.txt,parsed
125,777.8,4.44,0.0444,0.0444,0.0444,signal_xsec.txt,parsed
130,652.3,4.41,0.0441,0.0441,0.0441,signal_xsec.txt,parsed
135,549.9,4.39,0.043899999999999995,0.043899999999999995,0.043899999999999995,signal_xsec.txt,parsed
140,466.0,4.36,0.0436,0.0436,0.0436,signal_xsec.txt,parsed
145,396.8,4.34,0.0434,0.0434,0.0434,signal_xsec.txt,parsed
150,339.5,4.32,0.0432,0.0432,0.0432,signal_xsec.txt,parsed
155,291.8,4.31,0.0431,0.0431,0.0431,signal_xsec.txt,parsed
160,251.9,4.29,0.0429,0.0429,0.0429,signal_xsec.txt,parsed
165,218.4,4.28,0.042800000000000005,0.042800000000000005,0.042800000000000005,signal_xsec.txt,parsed
170,190.0,4.27,0.042699999999999995,0.042699999999999995,0.042699999999999995,signal_xsec.txt,parsed
175,166.0,4.26,0.0426,0.0426,0.0426,signal_xsec.txt,parsed
180,145.5,4.25,0.0425,0.0425,0.0425,signal_xsec.txt,parsed
185,128.0,4.25,0.0425,0.0425,0.0425,signal_xsec.txt,parsed
190,113.0,4.24,0.0424,0.0424,0.0424,signal_xsec.txt,parsed
195,99.96,4.24,0.0424,0.0424,0.0424,signal_xsec.txt,parsed
200,88.71,4.24,0.0424,0.0424,0.0424,signal_xsec.txt,parsed
205,78.78,4.24,0.0424,0.0424,0.0424,signal_xsec.txt,parsed
210,70.14,4.25,0.0425,0.0425,0.0425,signal_xsec.txt,parsed
215,62.6,4.25,0.0425,0.0425,0.0425,signal_xsec.txt,parsed
220,56.0,4.26,0.0426,0.0426,0.0426,signal_xsec.txt,parsed
225,50.2,4.26,0.0426,0.0426,0.0426,signal_xsec.txt,parsed
230,45.1,4.27,0.042699999999999995,0.042699999999999995,0.042699999999999995,signal_xsec.txt,parsed
235,40.6,4.28,0.042800000000000005,0.042800000000000005,0.042800000000000005,signal_xsec.txt,parsed
240,36.62,4.29,0.0429,0.0429,0.0429,signal_xsec.txt,parsed
245,33.09,4.3,0.043,0.043,0.043,signal_xsec.txt,parsed
250,29.95,4.31,0.0431,0.0431,0.0431,signal_xsec.txt,parsed
255,27.14,4.32,0.0432,0.0432,0.0432,signal_xsec.txt,parsed
260,24.63,4.34,0.0434,0.0434,0.0434,signal_xsec.txt,parsed
265,22.38,4.35,0.0435,0.0435,0.0435,signal_xsec.txt,parsed
270,20.37,4.37,0.0437,0.0437,0.0437,signal_xsec.txt,parsed
275,18.57,4.38,0.0438,0.0438,0.0438,signal_xsec.txt,parsed
280,16.96,4.4,0.044000000000000004,0.044000000000000004,0.044000000000000004,signal_xsec.txt,parsed
285,15.5,4.41,0.0441,0.0441,0.0441,signal_xsec.txt,parsed
290,14.19,4.43,0.0443,0.0443,0.0443,signal_xsec.txt,parsed
295,13.0,4.45,0.044500000000000005,0.044500000000000005,0.044500000000000005,signal_xsec.txt,parsed
300,11.93,4.46,0.0446,0.0446,0.0446,signal_xsec.txt,parsed
305,10.96,4.48,0.044800000000000006,0.044800000000000006,0.044800000000000006,signal_xsec.txt,parsed
310,10.08,4.49,0.0449,0.0449,0.0449,signal_xsec.txt,parsed
315,9.275,4.5,0.045,0.045,0.045,signal_xsec.txt,parsed
320,8.546,4.51,0.0451,0.0451,0.0451,signal_xsec.txt,parsed
325,7.883,4.53,0.0453,0.0453,0.0453,signal_xsec.txt,parsed
330,7.279,4.54,0.0454,0.0454,0.0454,signal_xsec.txt,parsed
335,6.728,4.55,0.0455,0.0455,0.0455,signal_xsec.txt,parsed
340,6.224,4.57,0.045700000000000005,0.045700000000000005,0.045700000000000005,signal_xsec.txt,parsed
345,5.763,4.58,0.0458,0.0458,0.0458,signal_xsec.txt,parsed
350,5.342,4.6,0.046,0.046,0.046,signal_xsec.txt,parsed
355,4.954,4.61,0.0461,0.0461,0.0461,signal_xsec.txt,parsed
360,4.599,4.63,0.0463,0.0463,0.0463,signal_xsec.txt,parsed
