Stop / sbottom mass (GeV) 	Cross section (pb) 	± Uncertainty
100 	2.046E+03 	4.61 %
105 	1.666E+03 	4.57 %
110 	1.365E+03 	4.53 %
115 	1.125E+03 	4.50 %
120 	9.327E+02 	4.47 %
125 	7.778E+02 	4.44 %
130 	6.523E+02 	4.41 %
135 	5.499E+02 	4.39 %
140 	4.660E+02 	4.36 %
145 	3.968E+02 	4.34 %
150 	3.395E+02 	4.32 %
155 	2.918E+02 	4.31 %
160 	2.519E+02 	4.29 %
165 	2.184E+02 	4.28 %
170 	1.900E+02 	4.27 %
175 	1.660E+02 	4.26 %
180 	1.455E+02 	4.25 %
185 	1.280E+02 	4.25 %
190 	1.130E+02 	4.24 %
195 	9.996E+01 	4.24 %
200 	8.871E+01 	4.24 %
205 	7.878E+01 	4.24 %
210 	7.014E+01 	4.25 %
215 	6.260E+01 	4.25 %
220 	5.600E+01 	4.26 %
225 	5.020E+01 	4.26 %
230 	4.510E+01 	4.27 %
235 	4.060E+01 	4.28 %
240 	3.662E+01 	4.29 %
245 	3.309E+01 	4.30 %
250 	2.995E+01 	4.31 %
255 	2.714E+01 	4.32 %
260 	2.463E+01 	4.34 %
265 	2.238E+01 	4.35 %
270 	2.037E+01 	4.37 %
275 	1.857E+01 	4.38 %
280 	1.696E+01 	4.40 %
285 	1.550E+01 	4.41 %
290 	1.419E+01 	4.43 %
295 	1.300E+01 	4.45 %
300 	1.193E+01 	4.46 %
305 	1.096E+01 	4.48 %
310 	1.008E+01 	4.49 %
315 	9.275E+00 	4.50 %
320 	8.546E+00 	4.51 %
325 	7.883E+00 	4.53 %
330 	7.279E+00 	4.54 %
335 	6.728E+00 	4.55 %
340 	6.224E+00 	4.57 %
345 	5.763E+00 	4.58 %
350 	5.342E+00 	4.60 %
355 	4.954E+00 	4.61 %
360 	4.599E+00 	4.63 %
365 	4.272E+00 	4.65 %
370 	3.972E+00 	4.67 %
375 	3.696E+00 	4.69 %
380 	3.442E+00 	4.71 %
385 	3.207E+00 	4.73 %
390 	2.991E+00 	4.75 %
395 	2.791E+00 	4.77 %
400 	2.607E+00 	4.79 %
405 	2.436E+00 	4.81 %
410 	2.277E+00 	4.83 %
415 	2.130E+00 	4.85 %
420 	1.994E+00 	4.87 %
425 	1.868E+00 	4.89 %
430 	1.751E+00 	4.92 %
435 	1.642E+00 	4.94 %
440 	1.541E+00 	4.96 %
445 	1.447E+00 	4.98 %
450 	1.359E+00 	5.01 %
455 	1.277E+00 	5.03 %
460 	1.201E+00 	5.05 %
465 	1.130E+00 	5.08 %
470 	1.064E+00 	5.10 %
475 	1.002E+00 	5.13 %
480 	9.442E-01 	5.15 %
485 	8.902E-01 	5.18 %
490 	8.396E-01 	5.20 %
495 	7.922E-01 	5.23 %
500 	7.479E-01 	5.25 %
505 	7.063E-01 	5.28 %
510 	6.672E-01 	5.31 %
515 	6.306E-01 	5.33 %
520 	5.963E-01 	5.36 %
525 	5.640E-01 	5.38 %
530 	5.337E-01 	5.41 %
535 	5.052E-01 	5.44 %
540 	4.785E-01 	5.46 %
545 	4.533E-01 	5.49 %
550 	4.296E-01 	5.52 %
555 	4.073E-01 	5.54 %
560 	3.863E-01 	5.57 %
565 	3.665E-01 	5.60 %
570 	3.478E-01 	5.63 %
575 	3.302E-01 	5.65 %
580 	3.136E-01 	5.68 %
585 	2.980E-01 	5.71 %
590 	2.832E-01 	5.74 %
595 	2.692E-01 	5.77 %
600 	2.560E-01 	5.79 %
605 	2.435E-01 	5.82 %
610 	2.316E-01 	5.85 %
615 	2.205E-01 	5.88 %
620 	2.099E-01 	5.91 %
625 	1.998E-01 	5.94 %
630 	1.904E-01 	5.97 %
635 	1.814E-01 	6.00 %
640 	1.729E-01 	6.03 %
645 	1.648E-01 	6.06 %
650 	1.571E-01 	6.10 %
655 	1.499E-01 	6.13 %
660 	1.430E-01 	6.16 %
665 	1.365E-01 	6.19 %
670 	1.303E-01 	6.22 %
675 	1.244E-01 	6.25 %
680 	1.188E-01 	6.28 %
685 	1.135E-01 	6.31 %
690 	1.084E-01 	6.34 %
695 	1.036E-01 	6.37 %
700 	9.905E-02 	6.40 %
705 	9.470E-02 	6.43 %
710 	9.056E-02 	6.46 %
715 	8.661E-02 	6.49 %
720 	8.286E-02 	6.51 %
725 	7.929E-02 	6.54 %
730 	7.589E-02 	6.57 %
735 	7.265E-02 	6.60 %
740 	6.956E-02 	6.62 %
745 	6.661E-02 	6.65 %
750 	6.381E-02 	6.68 %
755 	6.113E-02 	6.71 %
760 	5.858E-02 	6.74 %
765 	5.615E-02 	6.77 %
770 	5.382E-02 	6.80 %
775 	5.161E-02 	6.83 %
780 	4.949E-02 	6.86 %
785 	4.747E-02 	6.89 %
790 	4.554E-02 	6.92 %
795 	4.370E-02 	6.95 %
800 	4.193E-02 	6.98 %
805 	4.025E-02 	7.02 %
810 	3.864E-02 	7.05 %
815 	3.710E-02 	7.09 %
820 	3.562E-02 	7.13 %
825 	3.421E-02 	7.17 %
830 	3.287E-02 	7.21 %
835 	3.158E-02 	7.25 %
840 	3.034E-02 	7.29 %
845 	2.916E-02 	7.33 %
850 	2.803E-02 	7.37 %
855 	2.695E-02 	7.41 %
860 	2.591E-02 	7.45 %
865 	2.492E-02 	7.49 %
870 	2.397E-02 	7.53 %
875 	2.306E-02 	7.57 %
880 	2.218E-02 	7.61 %
885 	2.134E-02 	7.65 %
890 	2.054E-02 	7.69 %
895 	1.977E-02 	7.74 %
900 	1.903E-02 	7.78 %
905 	1.832E-02 	7.81 %
910 	1.764E-02 	7.85 %
915 	1.699E-02 	7.89 %
920 	1.636E-02 	7.93 %
925 	1.576E-02 	7.97 %
930 	1.518E-02 	8.01 %
935 	1.463E-02 	8.04 %
940 	1.410E-02 	8.08 %
945 	1.359E-02 	8.12 %
950 	1.310E-02 	8.16 %
955 	1.262E-02 	8.20 %
960 	1.217E-02 	8.24 %
965 	1.174E-02 	8.28 %
970 	1.132E-02 	8.32 %
975 	1.091E-02 	8.36 %
980 	1.053E-02 	8.40 %
985 	1.016E-02 	8.44 %
990 	9.798E-03 	8.48 %
995 	9.454E-03 	8.52 %
1000 	9.123E-03 	8.57 %
1005 	8.805E-03 	8.61 %
1010 	8.498E-03 	8.65 %
1015 	8.203E-03 	8.70 %
1020 	7.920E-03 	8.74 %
1025 	7.647E-03 	8.79 %
1030 	7.384E-03 	8.84 %
1035 	7.131E-03 	8.88 %
1040 	6.887E-03 	8.93 %
1045 	6.652E-03 	8.98 %
1050 	6.426E-03 	9.02 %
1055 	6.209E-03 	9.07 %
1060 	5.999E-03 	9.12 %
1065 	5.797E-03 	9.17 %
1070 	5.602E-03 	9.22 %
1075 	5.414E-03 	9.27 %
1080 	5.233E-03 	9.32 %
1085 	5.059E-03 	9.38 %
1090 	4.891E-03 	9.43 %
1095 	4.729E-03 	9.48 %
1100 	4.572E-03 	9.53 %
1105 	4.421E-03 	9.59 %
1110 	4.276E-03 	9.65 %
1115 	4.135E-03 	9.71 %
1120 	4.000E-03 	9.77 %
1125 	3.869E-03 	9.83 %
1130 	3.743E-03 	9.89 %
1135 	3.621E-03 	9.95 %
1140 	3.503E-03 	10.01 %
1145 	3.390E-03 	10.07 %
1150 	3.281E-03 	10.13 %
1155 	3.175E-03 	10.19 %
1160 	3.073E-03 	10.25 %
1165 	2.975E-03 	10.32 %
1170 	2.879E-03 	10.38 %
1175 	2.788E-03 	10.44 %
1180 	2.699E-03 	10.50 %
1185 	2.613E-03 	10.57 %
1190 	2.531E-03 	10.63 %
1195 	2.451E-03 	10.69 %
1200 	2.373E-03 	10.76 %
1205 	2.299E-03 	10.82 %
1210 	2.227E-03 	10.87 %
1215 	2.157E-03 	10.93 %
1220 	2.090E-03 	10.99 %
1225 	2.025E-03 	11.05 %
1230 	1.962E-03 	11.11 %
1235 	1.901E-03 	11.17 %
1240 	1.842E-03 	11.23 %
1245 	1.785E-03 	11.29 %
1250 	1.731E-03 	11.35 %
1255 	1.677E-03 	11.41 %
